IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.65.176.90,443,True,FRA,Europe,Frankfurt,249 ms,5336 kB/s
34.154.187.142,443,True,FRA,Europe,Frankfurt,254 ms,5250 kB/s
34.118.23.155,443,True,FRA,Europe,Frankfurt,262 ms,5230 kB/s
34.159.143.68,443,True,FRA,Europe,Frankfurt,237 ms,5211 kB/s
34.90.210.245,443,True,FRA,Europe,Frankfurt,244 ms,5205 kB/s
34.118.61.68,443,True,FRA,Europe,Frankfurt,260 ms,5197 kB/s
34.65.152.58,443,True,FRA,Europe,Frankfurt,256 ms,5195 kB/s
34.32.131.36,443,True,FRA,Europe,Frankfurt,256 ms,5186 kB/s
34.147.66.36,443,True,FRA,Europe,Frankfurt,263 ms,5171 kB/s
34.116.148.216,443,True,FRA,Europe,Frankfurt,262 ms,5133 kB/s
34.118.19.99,443,True,FRA,Europe,Frankfurt,261 ms,5117 kB/s
34.32.151.133,443,True,FRA,Europe,Frankfurt,236 ms,5093 kB/s
34.89.159.1,443,True,FRA,Europe,Frankfurt,262 ms,5065 kB/s
34.118.40.50,443,True,FRA,Europe,Frankfurt,257 ms,5047 kB/s
34.65.216.72,443,True,FRA,Europe,Frankfurt,231 ms,5014 kB/s
34.107.82.230,443,True,FRA,Europe,Frankfurt,255 ms,4941 kB/s
34.159.84.211,443,True,FRA,Europe,Frankfurt,238 ms,4935 kB/s
34.118.90.144,443,True,FRA,Europe,Frankfurt,261 ms,4852 kB/s
34.118.23.110,443,True,FRA,Europe,Frankfurt,260 ms,4844 kB/s
34.118.73.59,443,True,FRA,Europe,Frankfurt,253 ms,4722 kB/s
34.154.16.88,443,True,FRA,Europe,Frankfurt,253 ms,4713 kB/s
34.159.75.128,443,True,FRA,Europe,Frankfurt,228 ms,4710 kB/s
34.118.99.186,443,True,FRA,Europe,Frankfurt,264 ms,4703 kB/s
34.41.252.92,443,True,ORD,North America,Chicago,273 ms,4693 kB/s
34.118.109.123,443,True,FRA,Europe,Frankfurt,257 ms,4684 kB/s
34.154.51.149,443,True,FRA,Europe,Frankfurt,261 ms,4678 kB/s
34.118.78.190,443,True,FRA,Europe,Frankfurt,273 ms,4677 kB/s
34.118.5.223,443,True,FRA,Europe,Frankfurt,258 ms,4667 kB/s
34.159.147.132,443,True,FRA,Europe,Frankfurt,225 ms,4653 kB/s
34.91.107.241,443,True,FRA,Europe,Frankfurt,249 ms,4623 kB/s
34.90.77.227,443,True,FRA,Europe,Frankfurt,248 ms,4619 kB/s
34.32.209.205,443,True,FRA,Europe,Frankfurt,242 ms,4573 kB/s
34.118.118.64,443,True,FRA,Europe,Frankfurt,258 ms,4547 kB/s
34.118.104.94,443,True,FRA,Europe,Frankfurt,267 ms,4425 kB/s
34.154.143.24,443,True,FRA,Europe,Frankfurt,255 ms,4396 kB/s
34.147.72.205,443,True,FRA,Europe,Frankfurt,262 ms,4348 kB/s
34.118.18.167,443,True,FRA,Europe,Frankfurt,266 ms,4335 kB/s
34.118.104.85,443,True,FRA,Europe,Frankfurt,269 ms,4302 kB/s
34.107.31.245,443,True,FRA,Europe,Frankfurt,256 ms,4282 kB/s
34.116.238.49,443,True,FRA,Europe,Frankfurt,254 ms,4277 kB/s
35.204.28.176,443,True,FRA,Europe,Frankfurt,272 ms,4266 kB/s
34.118.50.142,443,True,FRA,Europe,Frankfurt,276 ms,4242 kB/s
34.116.181.51,443,True,FRA,Europe,Frankfurt,257 ms,4229 kB/s
34.154.178.83,443,True,FRA,Europe,Frankfurt,261 ms,4124 kB/s
34.107.40.171,443,True,FRA,Europe,Frankfurt,259 ms,4024 kB/s
34.118.21.204,443,True,FRA,Europe,Frankfurt,262 ms,4021 kB/s
35.198.90.177,443,True,FRA,Europe,Frankfurt,255 ms,3959 kB/s
34.107.60.227,443,True,FRA,Europe,Frankfurt,238 ms,3777 kB/s
34.91.177.185,443,True,FRA,Europe,Frankfurt,241 ms,3698 kB/s
34.123.83.237,443,True,ORD,North America,Chicago,257 ms,3687 kB/s
34.118.105.125,443,True,FRA,Europe,Frankfurt,258 ms,3470 kB/s
34.154.29.232,443,True,FRA,Europe,Frankfurt,236 ms,3378 kB/s
34.154.172.63,443,True,FRA,Europe,Frankfurt,239 ms,3225 kB/s
34.116.209.116,443,True,FRA,Europe,Frankfurt,273 ms,3137 kB/s
34.116.200.248,443,True,FRA,Europe,Frankfurt,264 ms,3116 kB/s
34.65.229.155,443,True,FRA,Europe,Frankfurt,239 ms,3093 kB/s
34.154.166.116,443,True,FRA,Europe,Frankfurt,253 ms,2925 kB/s
34.118.0.142,443,True,FRA,Europe,Frankfurt,257 ms,2862 kB/s
34.154.102.110,443,True,FRA,Europe,Frankfurt,262 ms,2831 kB/s
34.141.62.127,443,True,FRA,Europe,Frankfurt,230 ms,2658 kB/s
34.141.67.44,443,True,FRA,Europe,Frankfurt,240 ms,2630 kB/s
34.116.249.141,443,True,FRA,Europe,Frankfurt,264 ms,2620 kB/s
34.154.9.141,443,True,FRA,Europe,Frankfurt,241 ms,2572 kB/s
34.65.45.164,443,True,FRA,Europe,Frankfurt,240 ms,2521 kB/s
34.154.233.195,443,True,FRA,Europe,Frankfurt,254 ms,2452 kB/s
34.116.238.23,443,True,FRA,Europe,Frankfurt,255 ms,2415 kB/s
34.116.220.92,443,True,FRA,Europe,Frankfurt,278 ms,2385 kB/s
34.65.248.7,443,True,FRA,Europe,Frankfurt,247 ms,2335 kB/s
35.234.89.114,443,True,FRA,Europe,Frankfurt,250 ms,2300 kB/s
35.242.249.117,443,True,FRA,Europe,Frankfurt,234 ms,2289 kB/s
34.154.47.245,443,True,FRA,Europe,Frankfurt,260 ms,2271 kB/s
34.65.143.247,443,True,FRA,Europe,Frankfurt,247 ms,2265 kB/s
35.198.132.113,443,True,FRA,Europe,Frankfurt,236 ms,2246 kB/s
34.154.86.247,443,True,FRA,Europe,Frankfurt,251 ms,2242 kB/s
35.234.172.173,443,True,FRA,Europe,Frankfurt,255 ms,2233 kB/s
34.154.41.67,443,True,FRA,Europe,Frankfurt,239 ms,2223 kB/s
34.154.174.244,443,True,FRA,Europe,Frankfurt,245 ms,2175 kB/s
34.154.87.93,443,True,FRA,Europe,Frankfurt,247 ms,2131 kB/s
34.154.6.160,443,True,FRA,Europe,Frankfurt,248 ms,2130 kB/s
34.154.28.158,443,True,FRA,Europe,Frankfurt,242 ms,2124 kB/s
34.118.64.206,443,True,FRA,Europe,Frankfurt,245 ms,2122 kB/s
34.65.93.223,443,True,FRA,Europe,Frankfurt,237 ms,2118 kB/s
34.141.57.63,443,True,FRA,Europe,Frankfurt,250 ms,2108 kB/s
34.116.189.128,443,True,FRA,Europe,Frankfurt,259 ms,2095 kB/s
34.141.251.202,443,True,FRA,Europe,Frankfurt,244 ms,2091 kB/s
34.90.137.249,443,True,FRA,Europe,Frankfurt,270 ms,2091 kB/s
34.147.18.82,443,True,FRA,Europe,Frankfurt,256 ms,2060 kB/s
34.154.133.238,443,True,FRA,Europe,Frankfurt,241 ms,2025 kB/s
34.89.238.145,443,True,FRA,Europe,Frankfurt,233 ms,2015 kB/s
34.89.163.70,443,True,FRA,Europe,Frankfurt,242 ms,2015 kB/s
34.159.44.188,443,True,FRA,Europe,Frankfurt,254 ms,2012 kB/s
34.154.142.89,443,True,FRA,Europe,Frankfurt,254 ms,2004 kB/s
34.116.189.98,443,True,FRA,Europe,Frankfurt,277 ms,1980 kB/s
34.116.204.154,443,True,FRA,Europe,Frankfurt,257 ms,1980 kB/s
34.65.116.125,443,True,FRA,Europe,Frankfurt,239 ms,1975 kB/s
34.159.55.124,443,True,FRA,Europe,Frankfurt,258 ms,1969 kB/s
34.89.132.7,443,True,FRA,Europe,Frankfurt,257 ms,1942 kB/s
34.116.174.159,443,True,FRA,Europe,Frankfurt,268 ms,1926 kB/s
34.116.186.213,443,True,FRA,Europe,Frankfurt,264 ms,1903 kB/s
34.65.234.42,443,True,FRA,Europe,Frankfurt,243 ms,1897 kB/s
34.154.191.252,443,True,FRA,Europe,Frankfurt,255 ms,1890 kB/s
34.154.27.90,443,True,FRA,Europe,Frankfurt,232 ms,1887 kB/s
34.159.126.198,443,True,FRA,Europe,Frankfurt,250 ms,1878 kB/s
34.116.255.60,443,True,FRA,Europe,Frankfurt,260 ms,1878 kB/s
34.118.7.104,443,True,FRA,Europe,Frankfurt,251 ms,1858 kB/s
34.159.146.212,443,True,FRA,Europe,Frankfurt,228 ms,1855 kB/s
34.116.181.34,443,True,FRA,Europe,Frankfurt,264 ms,1852 kB/s
34.116.200.90,443,True,FRA,Europe,Frankfurt,258 ms,1852 kB/s
34.65.224.8,443,True,FRA,Europe,Frankfurt,249 ms,1852 kB/s
34.91.25.246,443,True,FRA,Europe,Frankfurt,239 ms,1842 kB/s
35.204.240.103,443,True,FRA,Europe,Frankfurt,246 ms,1838 kB/s
34.154.74.14,443,True,FRA,Europe,Frankfurt,226 ms,1826 kB/s
34.65.174.114,443,True,FRA,Europe,Frankfurt,235 ms,1817 kB/s
34.116.193.101,443,True,FRA,Europe,Frankfurt,254 ms,1804 kB/s
34.116.214.20,443,True,FRA,Europe,Frankfurt,261 ms,1798 kB/s
34.107.56.152,443,True,FRA,Europe,Frankfurt,263 ms,1794 kB/s
35.204.163.9,443,True,FRA,Europe,Frankfurt,237 ms,1788 kB/s
34.65.112.159,443,True,FRA,Europe,Frankfurt,259 ms,1783 kB/s
34.32.156.217,443,True,FRA,Europe,Frankfurt,240 ms,1727 kB/s
34.65.78.221,443,True,FRA,Europe,Frankfurt,240 ms,1727 kB/s
34.107.72.29,443,True,FRA,Europe,Frankfurt,258 ms,1716 kB/s
35.242.215.221,443,True,FRA,Europe,Frankfurt,236 ms,1711 kB/s
34.141.242.242,443,True,FRA,Europe,Frankfurt,248 ms,1708 kB/s
34.107.64.17,443,True,FRA,Europe,Frankfurt,251 ms,1695 kB/s
34.116.241.42,443,True,FRA,Europe,Frankfurt,262 ms,1676 kB/s
34.116.128.120,443,True,FRA,Europe,Frankfurt,260 ms,1673 kB/s
34.90.91.163,443,True,FRA,Europe,Frankfurt,244 ms,1666 kB/s
34.147.22.90,443,True,FRA,Europe,Frankfurt,259 ms,1664 kB/s
34.107.89.72,443,True,FRA,Europe,Frankfurt,254 ms,1653 kB/s
34.34.6.160,443,True,FRA,Europe,Frankfurt,241 ms,1634 kB/s
34.141.231.162,443,True,FRA,Europe,Frankfurt,247 ms,1628 kB/s
34.154.69.186,443,True,AMS,Europe,Amsterdam,232 ms,1622 kB/s
34.154.75.182,443,True,FRA,Europe,Frankfurt,229 ms,1622 kB/s
34.116.237.149,443,True,FRA,Europe,Frankfurt,249 ms,1611 kB/s
34.91.101.211,443,True,FRA,Europe,Frankfurt,263 ms,1580 kB/s
34.116.153.230,443,True,FRA,Europe,Frankfurt,267 ms,1577 kB/s
34.32.217.226,443,True,FRA,Europe,Frankfurt,258 ms,1571 kB/s
34.154.37.15,443,True,FRA,Europe,Frankfurt,255 ms,1571 kB/s
34.118.123.180,443,True,FRA,Europe,Frankfurt,263 ms,1567 kB/s
34.154.47.183,443,True,FRA,Europe,Frankfurt,260 ms,1556 kB/s
34.89.156.120,443,True,FRA,Europe,Frankfurt,247 ms,1551 kB/s
34.159.203.170,443,True,FRA,Europe,Frankfurt,245 ms,1548 kB/s
34.118.20.193,443,True,FRA,Europe,Frankfurt,259 ms,1523 kB/s
34.65.127.158,443,True,FRA,Europe,Frankfurt,247 ms,1512 kB/s
34.116.158.195,443,True,FRA,Europe,Frankfurt,259 ms,1465 kB/s
34.34.46.120,443,True,FRA,Europe,Frankfurt,249 ms,1459 kB/s
34.118.121.61,443,True,FRA,Europe,Frankfurt,264 ms,1447 kB/s
34.116.151.200,443,True,FRA,Europe,Frankfurt,265 ms,1417 kB/s
34.34.36.61,443,True,FRA,Europe,Frankfurt,238 ms,1414 kB/s
34.118.45.49,443,True,FRA,Europe,Frankfurt,250 ms,1411 kB/s
34.34.50.184,443,True,FRA,Europe,Frankfurt,260 ms,1400 kB/s
34.116.170.77,443,True,FRA,Europe,Frankfurt,271 ms,1396 kB/s
34.159.30.150,443,True,FRA,Europe,Frankfurt,231 ms,1369 kB/s
34.154.113.6,443,True,FRA,Europe,Frankfurt,239 ms,1369 kB/s
34.116.161.110,443,True,FRA,Europe,Frankfurt,273 ms,1363 kB/s
34.116.128.29,443,True,FRA,Europe,Frankfurt,255 ms,1363 kB/s
34.154.121.129,443,True,FRA,Europe,Frankfurt,241 ms,1359 kB/s
34.65.12.97,443,True,FRA,Europe,Frankfurt,234 ms,1353 kB/s
34.159.190.107,443,True,FRA,Europe,Frankfurt,250 ms,1308 kB/s
34.118.99.127,443,True,FRA,Europe,Frankfurt,254 ms,1292 kB/s
34.159.58.138,443,True,FRA,Europe,Frankfurt,249 ms,1292 kB/s
34.118.91.197,443,True,FRA,Europe,Frankfurt,252 ms,1260 kB/s
34.90.21.1,443,True,FRA,Europe,Frankfurt,240 ms,1232 kB/s
35.204.164.131,443,True,FRA,Europe,Frankfurt,259 ms,1225 kB/s
34.118.36.124,443,True,FRA,Europe,Frankfurt,264 ms,1222 kB/s
34.91.67.64,443,True,FRA,Europe,Frankfurt,244 ms,1200 kB/s
34.159.25.164,443,True,FRA,Europe,Frankfurt,252 ms,1193 kB/s
34.32.240.124,443,True,FRA,Europe,Frankfurt,252 ms,1190 kB/s
35.204.40.164,443,True,FRA,Europe,Frankfurt,241 ms,1180 kB/s
34.118.57.241,443,True,FRA,Europe,Frankfurt,269 ms,1164 kB/s
34.154.170.106,443,True,FRA,Europe,Frankfurt,259 ms,1161 kB/s
34.154.173.201,443,True,FRA,Europe,Frankfurt,251 ms,1145 kB/s
34.116.214.69,443,True,FRA,Europe,Frankfurt,275 ms,1122 kB/s
34.34.7.155,443,True,FRA,Europe,Frankfurt,271 ms,1113 kB/s
34.65.203.70,443,True,FRA,Europe,Frankfurt,256 ms,1095 kB/s
34.90.191.116,443,True,FRA,Europe,Frankfurt,249 ms,1065 kB/s
34.154.140.169,443,True,FRA,Europe,Frankfurt,249 ms,1062 kB/s
34.65.199.105,443,True,FRA,Europe,Frankfurt,246 ms,1052 kB/s
34.154.154.180,443,True,FRA,Europe,Frankfurt,241 ms,1035 kB/s
34.118.54.138,443,True,FRA,Europe,Frankfurt,275 ms,1027 kB/s
34.154.181.117,443,True,FRA,Europe,Frankfurt,255 ms,1016 kB/s
34.118.90.82,443,True,FRA,Europe,Frankfurt,263 ms,985 kB/s
34.91.133.170,443,True,FRA,Europe,Frankfurt,247 ms,940 kB/s
34.118.12.204,443,True,FRA,Europe,Frankfurt,253 ms,857 kB/s
34.118.122.67,443,True,FRA,Europe,Frankfurt,268 ms,744 kB/s
35.198.83.199,443,True,FRA,Europe,Frankfurt,278 ms,729 kB/s
34.116.216.165,443,True,FRA,Europe,Frankfurt,264 ms,726 kB/s
35.229.161.32,443,True,TPE,Asia Pacific,Taipei,77 ms,694 kB/s
34.90.108.249,443,True,FRA,Europe,Frankfurt,251 ms,643 kB/s
35.246.157.138,443,True,FRA,Europe,Frankfurt,248 ms,636 kB/s
34.159.208.192,443,True,FRA,Europe,Frankfurt,261 ms,625 kB/s
34.118.109.211,443,True,FRA,Europe,Frankfurt,265 ms,594 kB/s
34.141.111.92,443,True,FRA,Europe,Frankfurt,240 ms,576 kB/s
34.118.107.144,443,True,FRA,Europe,Frankfurt,260 ms,518 kB/s
34.116.224.223,443,True,FRA,Europe,Frankfurt,254 ms,499 kB/s
34.118.13.78,443,True,FRA,Europe,Frankfurt,264 ms,489 kB/s
35.204.246.46,443,True,FRA,Europe,Frankfurt,246 ms,473 kB/s
34.32.211.101,443,True,FRA,Europe,Frankfurt,247 ms,464 kB/s
34.118.65.140,443,True,FRA,Europe,Frankfurt,261 ms,387 kB/s
34.116.187.139,443,True,FRA,Europe,Frankfurt,253 ms,365 kB/s
35.236.55.171,443,True,LAX,North America,Los Angeles,305 ms,198 kB/s
34.154.209.117,443,True,FRA,Europe,Frankfurt,248 ms,166 kB/s
34.118.67.168,443,True,FRA,Europe,Frankfurt,249 ms,147 kB/s
34.107.109.255,443,True,FRA,Europe,Frankfurt,247 ms,147 kB/s
34.116.252.47,443,True,FRA,Europe,Frankfurt,257 ms,137 kB/s
35.222.230.126,8443,True,ORD,North America,Chicago,250 ms,121 kB/s
34.154.85.1,443,True,FRA,Europe,Frankfurt,248 ms,86 kB/s
34.32.252.77,443,True,FRA,Europe,Frankfurt,244 ms,83 kB/s
34.89.156.211,443,True,FRA,Europe,Frankfurt,247 ms,0 kB/s
35.222.230.126,2053,True,ORD,North America,Chicago,257 ms,0 kB/s
34.141.8.201,443,True,FRA,Europe,Frankfurt,243 ms,0 kB/s
34.116.222.142,443,True,FRA,Europe,Frankfurt,264 ms,0 kB/s
34.88.63.160,443,True,FRA,Europe,Frankfurt,436 ms,0 kB/s
34.65.38.175,443,True,FRA,Europe,Frankfurt,238 ms,0 kB/s
34.65.110.108,443,True,FRA,Europe,Frankfurt,261 ms,0 kB/s
35.198.153.105,443,True,FRA,Europe,Frankfurt,246 ms,0 kB/s
34.34.34.56,443,True,FRA,Europe,Frankfurt,233 ms,0 kB/s
34.118.122.1,443,True,FRA,Europe,Frankfurt,250 ms,0 kB/s
20.185.28.234,44056,True,IAD,North America,Ashburn,231 ms,4431 kB/s
4.255.56.137,443,True,IAD,North America,Ashburn,288 ms,4364 kB/s
4.255.56.138,443,True,IAD,North America,Ashburn,298 ms,4327 kB/s
172.190.150.25,8443,True,IAD,North America,Ashburn,281 ms,3777 kB/s
20.83.149.174,443,True,IAD,North America,Ashburn,275 ms,3149 kB/s
20.240.254.247,8443,True,ARN,Europe,Stockholm,323 ms,3103 kB/s
51.107.13.85,8443,True,MXP,Europe,Milan,296 ms,2933 kB/s
20.108.51.255,443,True,LHR,Europe,London,291 ms,2713 kB/s
51.120.240.115,2087,True,CPH,Europe,Copenhagen,308 ms,2300 kB/s
20.170.41.153,443,True,FRA,Europe,Frankfurt,295 ms,1767 kB/s
51.120.240.115,8080,True,CPH,Europe,Copenhagen,303 ms,1560 kB/s
20.62.202.159,443,True,IAD,North America,Ashburn,277 ms,793 kB/s
20.220.204.217,443,True,YYZ,North America,Toronto,227 ms,246 kB/s
52.137.60.154,443,True,AMS,Europe,Amsterdam,293 ms,102 kB/s
15.165.49.161,8080,True,ICN,Asia Pacific,Seoul,96 ms,12731 kB/s
13.250.131.37,443,True,SIN,Asia Pacific,Singapore,105 ms,11361 kB/s
13.125.218.78,443,True,ICN,Asia Pacific,Seoul,101 ms,11317 kB/s
18.166.180.230,8443,True,HKG,Asia Pacific,Hong Kong,140 ms,11000 kB/s
3.65.21.45,443,True,FRA,Europe,Frankfurt,186 ms,7885 kB/s
54.229.195.253,8443,True,DUB,Europe,Dublin,207 ms,7498 kB/s
52.213.11.150,443,True,DUB,Europe,Dublin,212 ms,7275 kB/s
54.194.162.247,443,True,DUB,Europe,Dublin,205 ms,7185 kB/s
18.130.249.35,2096,True,LHR,Europe,London,201 ms,6997 kB/s
18.185.86.127,8443,True,FRA,Europe,Frankfurt,186 ms,6931 kB/s
18.130.249.35,8081,True,LHR,Europe,London,201 ms,6750 kB/s
3.120.144.20,8080,True,FRA,Europe,Frankfurt,179 ms,6606 kB/s
15.236.136.125,2087,True,CDG,Europe,Paris,192 ms,6448 kB/s
13.43.173.97,8443,True,LHR,Europe,London,193 ms,6399 kB/s
99.83.209.185,443,True,IAD,North America,Ashburn,205 ms,6238 kB/s
18.198.4.243,8443,True,FRA,Europe,Frankfurt,184 ms,6132 kB/s
13.57.182.91,443,True,SJC,North America,San Jose,189 ms,5981 kB/s
18.168.254.65,8443,True,LHR,Europe,London,193 ms,5946 kB/s
13.60.91.143,443,True,ARN,Europe,Stockholm,201 ms,5844 kB/s
13.60.79.248,443,True,ARN,Europe,Stockholm,196 ms,5712 kB/s
13.60.4.148,8443,True,ARN,Europe,Stockholm,198 ms,5656 kB/s
35.177.209.223,443,True,LHR,Europe,London,200 ms,5487 kB/s
13.51.132.60,443,True,OSL,Europe,Oslo,199 ms,5406 kB/s
16.16.64.83,8443,True,WAW,Europe,Warsaw,203 ms,5272 kB/s
13.43.93.40,8443,True,LHR,Europe,London,204 ms,5178 kB/s
13.40.87.247,443,True,LHR,Europe,London,199 ms,5136 kB/s
52.212.168.5,8443,True,DUB,Europe,Dublin,210 ms,5065 kB/s
35.177.209.223,8080,True,LHR,Europe,London,201 ms,5018 kB/s
13.48.245.19,443,True,ARN,Europe,Stockholm,204 ms,4866 kB/s
18.192.113.68,8443,True,FRA,Europe,Frankfurt,186 ms,4854 kB/s
18.132.164.98,443,True,LHR,Europe,London,190 ms,4842 kB/s
35.165.253.141,443,True,SEA,North America,Seattle,210 ms,4807 kB/s
34.253.212.104,8081,True,DUB,Europe,Dublin,205 ms,4578 kB/s
13.42.158.50,8443,True,LHR,Europe,London,208 ms,4495 kB/s
13.53.206.75,443,True,CPH,Europe,Copenhagen,198 ms,4475 kB/s
13.51.55.31,443,True,ARN,Europe,Stockholm,198 ms,4473 kB/s
13.53.126.251,8443,True,ARN,Europe,Stockholm,197 ms,4436 kB/s
54.200.244.93,443,True,SEA,North America,Seattle,202 ms,4421 kB/s
34.253.175.38,443,True,DUB,Europe,Dublin,204 ms,4396 kB/s
13.51.48.84,2096,True,ARN,Europe,Stockholm,201 ms,4305 kB/s
13.51.173.26,8443,True,WAW,Europe,Warsaw,207 ms,4220 kB/s
3.70.219.196,443,True,FRA,Europe,Frankfurt,186 ms,4126 kB/s
3.123.255.167,443,True,FRA,Europe,Frankfurt,189 ms,4001 kB/s
13.40.87.247,8080,True,LHR,Europe,London,192 ms,3294 kB/s
13.49.18.114,443,True,ARN,Europe,Stockholm,203 ms,3102 kB/s
3.15.147.151,2083,True,ORD,North America,Chicago,232 ms,2969 kB/s
13.36.230.17,8443,True,CDG,Europe,Paris,213 ms,2918 kB/s
13.38.53.164,8443,True,CDG,Europe,Paris,216 ms,2824 kB/s
13.42.76.114,8443,True,LHR,Europe,London,198 ms,2710 kB/s
13.60.97.55,8080,True,ARN,Europe,Stockholm,200 ms,2625 kB/s
18.194.183.74,2053,True,FRA,Europe,Frankfurt,188 ms,2517 kB/s
18.216.55.100,443,True,ORD,North America,Chicago,240 ms,2323 kB/s
18.184.55.249,443,True,FRA,Europe,Frankfurt,183 ms,2248 kB/s
13.43.93.40,2053,True,LHR,Europe,London,203 ms,2236 kB/s
3.144.191.4,443,True,ORD,North America,Chicago,240 ms,2126 kB/s
13.60.4.148,2053,True,CPH,Europe,Copenhagen,196 ms,1411 kB/s
3.18.225.231,443,True,ORD,North America,Chicago,254 ms,1036 kB/s
52.211.193.42,443,True,CDG,Europe,Paris,203 ms,1004 kB/s
13.38.100.139,8443,True,CDG,Europe,Paris,210 ms,649 kB/s
3.120.8.31,443,True,FRA,Europe,Frankfurt,184 ms,633 kB/s
52.74.101.26,443,True,SIN,Asia Pacific,Singapore,100 ms,579 kB/s
54.233.182.187,443,True,GIG,South America,Rio de Janeiro,355 ms,559 kB/s
15.228.157.181,443,True,GIG,South America,Rio de Janeiro,357 ms,300 kB/s
18.167.194.154,443,True,HKG,Asia Pacific,Hong Kong,138 ms,96 kB/s
13.60.76.53,2096,True,CPH,Europe,Copenhagen,207 ms,13 kB/s
54.179.184.9,443,True,SIN,Asia Pacific,Singapore,112 ms,0 kB/s
8.218.22.210,8443,True,HKG,Asia Pacific,Hong Kong,59 ms,24109 kB/s
47.76.159.146,2083,True,HKG,Asia Pacific,Hong Kong,61 ms,22438 kB/s
8.210.107.246,2053,True,HKG,Asia Pacific,Hong Kong,62 ms,20237 kB/s
8.210.174.156,2053,True,HKG,Asia Pacific,Hong Kong,58 ms,15263 kB/s
47.238.40.58,2087,True,HKG,Asia Pacific,Hong Kong,67 ms,14643 kB/s
47.243.5.154,2053,True,HKG,Asia Pacific,Hong Kong,61 ms,13471 kB/s
47.242.36.78,2087,True,HKG,Asia Pacific,Hong Kong,68 ms,12213 kB/s
47.242.36.78,2053,True,HKG,Asia Pacific,Hong Kong,61 ms,12019 kB/s
8.210.174.156,8443,True,HKG,Asia Pacific,Hong Kong,60 ms,11743 kB/s
47.243.234.9,2083,True,HKG,Asia Pacific,Hong Kong,59 ms,11625 kB/s
47.76.159.146,2053,True,HKG,Asia Pacific,Hong Kong,55 ms,11602 kB/s
8.210.203.7,2087,True,HKG,Asia Pacific,Hong Kong,64 ms,11276 kB/s
47.76.178.146,2087,True,HKG,Asia Pacific,Hong Kong,68 ms,10807 kB/s
8.217.232.246,2053,True,HKG,Asia Pacific,Hong Kong,63 ms,9939 kB/s
8.217.221.165,2087,True,HKG,Asia Pacific,Hong Kong,63 ms,9634 kB/s
47.76.32.108,2083,True,HKG,Asia Pacific,Hong Kong,62 ms,9258 kB/s
8.210.203.7,2083,True,HKG,Asia Pacific,Hong Kong,68 ms,9077 kB/s
47.76.178.146,443,True,HKG,Asia Pacific,Hong Kong,64 ms,9048 kB/s
47.243.67.28,2053,True,HKG,Asia Pacific,Hong Kong,60 ms,8851 kB/s
47.243.67.28,2087,True,HKG,Asia Pacific,Hong Kong,66 ms,8824 kB/s
47.76.159.146,2087,True,HKG,Asia Pacific,Hong Kong,67 ms,8553 kB/s
8.219.86.200,8443,True,SIN,Asia Pacific,Singapore,230 ms,8349 kB/s
